PinNum,Shrt_Desc,Trans_Fat,Water,Calories,Protein,Total Fat,Carbohydrt,Fiber_TD,Ash,Calcium,Phosphorus,Iron,Sodium,Potassium,Magnesium,Zinc,Copper,Manganese,Selenium,Vit_A,Vit_E,Thiamin,Riboflavin,Niacin,Panto_acid,Vit_B6,Folate,Vit_B12,Vit_C,FA_Sat,FA_Mono,FA_Poly,Cholestrl,GmWt_1,GmWt_Desc1,GmWt_2,GmWt_Desc2,Refuse_Pct,WaterAmount,AlcoholContent,FlavorContent,Added_Sugars,Sugars,Vitamin D,Sugar Alcohols
34,Anchovy Powder 1107,0.04,6.93,315,34.5,4.77,42.9,1.28,15.1,35.3,0,4.38,4810,0,0,0,0,0,0,66.1,0,0,0,0,0,0,0,0,0.4,0.23,0.1,0,4,0,0,0,0,0,0,0,0,,,,
47, Apple Essence 150x,0,98.8,7,0,0,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,,,
49,Apple Juice Concentrate,0,27,289,0.86,0.63,70,0.7,0,34,42,1.53,4.2,757,0,0,0,0,0,7,0,0.019,0.09,0.228,0,0,0,0,3.5,0.1,0,0.207,0,0,0,0,0,0,0,0,0,,49,,
50,Tastee Apple  Flakes,0,8.5,178,0,0,44.48,47.02,0,117,0,3,0,0,0,0,0,0,0,41,0,0.01,0.24,1.41,0,0,0,0,21.18,0,0,0,0,0,0,0,0,0,0,0,0,-1,44.48,,
60, Arabic SD Gum,0,10,170,2,0,87,85.8,2.4,1880,0,0.08,3.9,747,643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
71, Beeswax Absolute,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
100, WATER,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
103, Natural Burgundy Flavor 6 Fold,0,81,71,2,0.1,15.4,0,1.5,42,0,2.5,66,58,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
105,  Butter Acids,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,,,
106, Butter Esters,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,,,
113,High Acid Buttermilk Powder,0,4.17,333,23,4.8,49.38,0,2.791,0.4995,0,0,506.9,561.8,0,0,0,0,0,208.7,0,0,0,0,0,0,0,0,0.5768,0,0,0,73.78,0,0,0,0,0,0,0,0,-1,49.38,,
145," Capsicum Oleoresin 500,000",0,0,898,0,99.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
147, Capsul Modified Food Starch,0,10,359,0.4,0.15,89,0.4,0.4,26,0,0.6,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,0,0,0,0,0,0,,,,
150,CARAMEL COLOR DS400 LIQUID,0,49,175,0,0,43.7,0,0.1,2,0,0.2,40,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,4,,
154, Caramel CS#5,0,29,284,0,0,71,0,0.09,2,0.09,0.2,0.49,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,47.7,,
155,Caramel Powder 680,0,3,340,0,0,85,29.5,1.2,10,20,2,500,100,5,0.1,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
157,Caramel Color RT220,0,3.4,200,0,0,90.7,0,5.1,970,1,5,800,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,86,,
169,CE-7465 Nat. Bleu Cheese Enhancer Flavor,0.005,0,810,0,90,0,0,0,0.036,0.225,0.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.97,21.6,52.11,0,0,0,0,0,0,0,0,0,,,,
176, celery seed powder,0,0,435,0,21.9,40,35,9.3,1.4,0,37.3,174,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
188, CharOil Hickory,9.4,1.99,891,0,99,0,0,0,0.03,0.5,0,0.52,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,15,36,48,0,0,0,0,0,0,0,0,0,,,,
189,Charoil Mesquite,4,2,891,0,99,0,0,0,0.03,0.5,0.01,0.52,0.01,0,0.1,0.1,0,0.01,0,0,0,0,0,0,0,0,0,0,15,27,54,0,0,0,0,0,0,0,0,0,,,,
190, CharDex Hickory,0,6.5,304,0,0,76,0,0.4,20.7,4.2,0,64.3,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
191, Chardex Mesquite,0,6.5,304,0,0,76,0,0.4,0,4.2,0,64.3,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,76,,
193,"Cheddease 270, White",0,5,454,22.7,25.41,33.66,0,14.1,919,1053,0.636,3379,266,0,0,0,0,0,692,0,0.168,0.77,0.352,0,0,0,0,0.968,13.4,0,0.61,74,0,0,0,0,0,0,0,0,-1,26,,
199, Rendered Chicken Fat,0.8,0.25,898,0,99.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.8,44.7,20.9,85,0,0,0,0,0,0,0,0,,,,
201, Chicory Root SE Roasted,0,0,245.74,0.73,0.1,20.98,0.99,2.06,189.09,0,3.83,36.77,637.03,53.39,0,0,0,0,0.52,0,0,0,0,0,0,0,0,2.61,0.03,0,0,0,0,0,0,0,0,0,0,68.7699966,,,,
206, Cinnamon Powder,0,10,357,4.5,2.16,79.8,20.3,3.5,1.6,0,4.1,10,0,0,0,0,0,0,260,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,,,,
216, Citric Acid,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
223, Clam Extract Powder 1100,0,5,324,54,0.1,27,0,10.8,0.2,0,0.4,2200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,10,0,0,0,0,0,0,0,3.20000005,,,,
230, Clove Powder,0,0,432,6,14.5,69.41,11.1,5,0,0,9.5,250,1.2,0,0,0,0,0,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
234,CMC 7H0F,0,7,300,0,0,75,75,25,8,0,1,7800,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
238, Cocoa Essence Dark,0.01,43,329,0.1,0.1,0.1,0.1,0.1,1,1,1,1,1,0,0,0,0,0,50,0,0,0,0,0,0,0,0,1,0.1,0,0,1,0,0,0,0,0,0,47,57,-1,0.1,,
239, Cocoa Extract U88,0,0,574,0,0,91.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
240,Cocoa Powder 200 DP-11,0,3,333,23.3,11,35.3,29.7,0,157,786,14,20,3877,502,0,0,0,0,15,0.9,0.36,0.36,2.97,1.53,0.15,0,0,0,6.6,0,0,0.28,0,0,0,0,0,0,0,0,0,,,
249,Coriander Powder,0,6.7,446,14.2,18.8,55,53,5.4,730,0,5.2,24,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,
251, Corn Syrup Solids 42D Frodex,0,0,384,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
