flavor,orders since 2010,quantity since 2010,orders since 2007,quantity since 2007
110557,10,20,26,72
110552,34,732,55,862
110553,0,0,2,4
110551,20,49,34,82
170440,3,24,3,24
170441,2,60,2,60
170446,1,8,1,8
170447,2,70,2,70
110559,2,4,2,4
130469,6,44,10,76
140148,14,120,28,214
140149,3,32,6,56
140145,0,0,1,8
140146,0,0,1,8
130463,74,313,151,4564
130466,6,48,9,72
130467,12,84,20,144
120615,21,378,59,532
10891,8,72,16,185
10890,1,25,2,27
110952,3,24,3,24
110481,6,44,9,62
110950,14,327,30,447
110951,1,2,1,2
110484,3,600,5,1100
120128,5,152,5,152
130645,5,200,9,272
120438,0,0,2,16
130647,1,30,2,80
130640,10,158,13,214
130641,2,16,3,24
130642,2,24,3,32
130649,6,82,7,90
120435,0,0,1,2
110312,5,12,8,18
110319,2,4,5,10
10969,3,1150,6,2750
140548,10,80,17,136
140549,11,112,12,144
140540,8,26,20,92
140541,1,4,2,6
120724,0,0,2,10
120725,1,2,1,2
140544,24,150,33,192
140545,7,56,8,72
140546,9,80,11,112
120721,47,685,94,924
130461,0,0,1,8
130080,15,56,62,1336
130240,3,12,3,12
140326,17,7720,32,14251
140327,0,0,2,250
140320,60,3741,102,6075
140321,1,10,1,10
130247,3,12,5,36
130249,0,0,2,10
140328,0,0,2,16
140329,0,0,2,16
10708,6,266,24,508
140981,3,130,3,130
101,0,0,1,1
140432,0,0,3,49
140434,10,1500,16,2125
10636,5,415,14,809
140455,5,10,10,20
160098,2,14,2,14
10410,2,150,3,250
160090,10,78,14,112
160091,0,0,2,16
160092,1,4,1,4
80375,0,0,1,8
121097,1,7,1,7
110527,34,4396,72,8564
121099,1,50,1,50
110482,2,600,2,600
150173,1,50,1,50
160149,11,560,20,1160
160075,1,8,2,16
160072,7,123,10,223
160073,26,481,43,952
160070,14,112,18,144
160071,0,0,5,34
160078,17,125.8,23,166.55
160079,1,2,1,2
8167,0,0,1,25
170147,6,883,10,963
170144,0,0,2,16
170143,6,48,9,72
170142,4,32,6,48
170141,6,56,8,72
170140,9,284,11,300
170149,3,7,4,14
170148,3,12,11,40
130509,1,8,9,24
111303,0,0,2,4
111307,2,14,5,37
111308,0,0,5,40
111309,5,440,10,664
130507,3,8,12,30
130506,40,198,114,966
130505,3,10,22,1338
130504,6,48,10,80
110251,2,16,4,32
170322,1,100,1,100
130630,0,0,1,2
170325,1,500,1,500
170324,1,8,1,8
180190,2,16,2,16
180196,3,150,3,150
111234,0,0,3,857
111235,0,0,1,8
111230,38,1019,65,1115
111231,11,88,16,122
111232,233,888000,433,2234900
170459,1,8,1,8
110012,11,4950,23,12182
130472,3,24,4,32
180173,5,960,5,960
110542,88,1683,138,2430
130479,3,14,12,49
140159,3,1000,3,1000
140151,0,0,7,225
140155,1,8,4,32
140154,0,0,2,50
120600,0,0,1,2
110495,0,0,1,2
110494,4,8,6,12
170219,0,0,1,8
170218,5,384,8,1344
170217,3,20,5,36
170216,0,0,2,0
170215,7,655,9,695
170214,2,14,3,21
170213,0,0,2,40
170210,2,12,3,20
130653,3,300,5,500
120428,73,2631,139,3697
130650,2,12,3,20
150165,1,20,1,20
110307,47,502,87,693
110306,62,1190,133,2504
110305,1,2,3,10
140557,21,202,26,282
140556,13,128,17,176
140555,3,24,4,40
140554,1,8,2,16
140553,5,80,6,112
140551,7,56,7,56
10977,45,312,85,486
140558,5,22,5,22
120731,2,16,4,57
11287,9,425,13,650
130094,6,1400,6,1400
130097,1,7,1,7
130091,3,12,9,24
130093,3,15.75,9,43.75
130092,0,0,2,10
140333,2,150,3,200
140880,3,12,3,12
140331,10,1100,18,2069
140882,6,12,6,12
140337,1,500,1,500
140884,17,34,17,34
140887,5,42,5,42
140334,0,0,4,150
140889,2,88,2,88
