PinNum,Shrt_Desc,FlavorContent,Carbohydrt,Water,Protein,Total Fat,Ash,AlcoholContent,Total Weight 
34,Anchovy Powder 1107,0,42.9,6.93,34.5,4.77,15.1,0,104.2
50,Tastee Apple  Flakes,0,44.48,8.5,0,0,0,0,52.98
71, Beeswax Absolute,0,0,0,0,0,0,0,0
113,High Acid Buttermilk Powder,0,49.38,4.17,23,4.8,2.791,0,84.141
150,CARAMEL COLOR DS400 LIQUID,0,43.7,49,0,0,0.1,0,92.8
155,Caramel Powder 680,0,85,3,0,0,1.2,0,89.2
169,CE-7465 Nat. Bleu Cheese Enhancer Flavor,0,0,0,0,90,0,0,90
176, celery seed powder,0,40,0,0,21.9,9.3,0,71.2
190, CharDex Hickory,0,76,6.5,0,0,0.4,0,82.9
191, Chardex Mesquite,0,76,6.5,0,0,0.4,0,82.9
201, Chicory Root SE Roasted,68.7699966,20.98,0,0.73,0.1,2.06,0,92.6399966
230, Clove Powder,0,69.41,0,6,14.5,5,0,94.91
234,CMC 7H0F,0,75,7,0,0,25,0,107
238, Cocoa Essence Dark,57,0.1,43,0.1,0.1,0.1,47,147.4
239, Cocoa Extract U88,0,91.8,0,0,0,0,0,91.8
240,Cocoa Powder 200 DP-11,0,35.3,3,23.3,11,0,0,72.6
251, Corn Syrup Solids 42D Frodex,0,96,0,0,0,0,0,96
266, L Cysteine,0,0,0,67.5,0,0,0,67.5
321,Ethyl Alcohol,0,0,5,0,0,0,100,105
356," Coffee, SD Dark Roast",0,41.1,3.1,12.2,0.5,8.8,0,65.7
377, Foengreek SE,0,65,30,0,0,0,0,95
378, Foenugreek SE Unroasted,0,69.78,11.14,9.62,2.33,1.24,0,94.11
392, Garlic Powder,0,80.6,4.26,10.2,1.08,0,0,96.14
413,White Grape Juice Concentrate 68 Brix,0,62,32,1.31,0.38,0,0,95.69
445, Honey Buds,0,97.6,0,0.236,0,0,0,97.836
450, HVP 004,0,20,0,35,0.5,0,0,55.5
451, HVP CS,0,11.3,4,37.3,0.5,50.36,0,103.46
460, I+G,0,0,0,0,0,0,0,0
474, Naturetone 3463,0,80,0,0,0,0,0,80
