Ingredient Supplier Code,New Code,Ex,Instruction,Delete
/Dempsey/Diana,DIA,1615,,
1,FLVD,6053,This is a code for the HACCP test.  Not sure what it is,
A.Holliday,,4762,Discontinue,delete supplier
A.M.,Todd,,,
A.M. Todd,Todd,,,
ABT,ADVA,,,
ABT/ALDRICH,ADVA,,,
ABT/Aldrich,ADVA,,,
ABT/Bell,ADVA,,,
ABT/Fleurchem,ADVA,,,
ABT/Penta,ADVA,,,
ABT/Vigon,ADVA,,,
ABT/aldrich,ADVA,,,
ACCIRATE,Accu,,,
ACCURATE,Accu,,,
ADM,Corn,952,,
ADM/agri,Corn,3274,,
AIC,,1674,discontinued,delete supplier
AM Todd,Todd,,,
Accurate,Accu,,,
Accurate Ingredients,Accu,,,
Accurate/Aldrich,Accu,,,
Accurate/Penta,Accu,,,
Activ-USA,,4977,discontinued,delete supplier
Adam,Adam,1234,,
Adams,Adam,3578,,
"Adams, Joseph",Adam,5443,,
Adm,Corn,380,,
Advanced BioTech,ADVA,,,
Advanced Biotech,ADVA,,,
Aff,,854,Discontinued,Delete Supplier
AgriDairy,,751,Discontinued,Delete Supplier
Ajinimoto,Ajin,,,
Ajinomoto,Ajin,,,
Ajinomoto/Acc,Ajin,,,
Aldrich,Aldr,,,
Aldrich/ABT,Aldr,,,
Aldrich/Berje,Aldr,,,
Aldrich/C&A,Aldr,,,
Aldrich/Penta,Aldr,,,
Aldrich/Vigon,Aldr,,,
Alfrebro,ALF,,,
Allen,ALLE,,,
Alli,,1969,discontinued,Delete Supplier
Amcam,,1453,discontinued,Delete Supplier
Ame2,Amer2,1855,,
Amelia,Amel,,,
Amer,Amer2,810,discontinued,
Amer2,Amer2,356,,
American,Amer2,3464,discontinued,
American Color,Am.Color,4957,,
American Ing,,1481,discontinued,Delete supplier
American Instants,Amer2,,,
Apura,Apura,6082,,
Aqu,,235,discontinued,Delete supplier
Aran,,449,discontinued,Delete supplier
Aria,Ariake,2511,,
Ariake,Ariake,,,
Armo,,227,discontinued,Delete Supplier
Armour,Armo,,,
Arome,Arome Amer,,,
Arome Am.,Arome Amer,,,
Arome Amer.,Arome Amer,,,
Atlantic,Atla,3705,,
Atlantic Qlty,Scho,,,
Atlantic Qual,Scho,,,
Atlantic Quality,Scho,,,
Atlantic Sweet,Atla,,,
Atlantic Sweetner,Atla,,,
Atlantic sweet,Atla,,,
Atlantic/Essex,Atla,,,
Auro Chemicals,Auro,6797,,
Austrade,,7238,discontinue,Delete supplier
Auto,,242,discontinue,Delete supplier
Autocrat,,4157,discontinue,Delete supplier
Aveb,,1500,discontinue,Delete supplier
Axel,AXE,,,
Axxence,Axxence,5825,,
BASF,BASF,,,
BBA,,342,discontinue, 
BEDOUKIAN,Bedo,,,
Basic Food,Basi,,,
Basic Food/Accurate,Basi,,,
Bedoukian,Bedo,,,
Bedoukian Research,Bedo,,,
Bedoukian/Aldrich,Bedo,,,
Bell,Bell,,,
Berge,Berj,942,,
Berje,Berj,,,
Beverage Hse,Beverage Hse,,,
Bio Springer,bios,,,
Biospringer,bios,,,
Blue California,Blue Ca,,,
Blue Ridge,BlueRidge,7195,,
Bort,,2230,discontinued,delete supplier
Breiss,Brie,,,
Brenntag,BRENNE,,,
Brenntag Spec.,BRESPE,,,
Brenntag Specialties,BRESPE,,,
Brenntag/ADM,Text,,,
Briess,Brie,,,
Briesse,Brie,,,
Brown,Brow,473,,
Brown Forman,BrwF,,,
Butter Buds,,5359,discontinue,Delete supplier
C & A,CA,,,
C&A,CA,,,
C&A/Aldrich,CA,,,
C&K,,988,discontinue,delete supplier
CA,CA,,,
CBS Foods,,459,discontinue,delete supplier
CTC,,865,discontinue,delete supplier
CTC/ABT,ADVA,5203,,
Cal,,1271,discontinue,delete supplier
Callahan,CAI,,,
Callebaut,CALL,3860,,
Calo,,314,discontinue,delete supplier
Cargill,CAR,,,
Cargill Distributor,ALFR,5827,,
Catania,Catania,4878,,
Charabot,Char,,,
Chart,,284,discontinue,delete supplier
Ches,,1998,discontinue,delete supplier
Chiquita,,5470,discontinue,delete supplier
Chr. Hansen,CHRH,,,
Citrus & Allied,CA,,,
Clas,,67,this is an alternate but no longer in business delete supplier,delete
Clof,,94,discontinue,delete supplier
Coll,,56,discontinue,delete supplier
Colo,,2054,discontinue,delete supplier
Comax,,2115,discontinue,delete supplier
Comm,,871,discontinue,delete supplier
Comm.Crmy,,3025,discontinue,delete supplier
Coombs Family,Coombs,,,
Corn Products,,5737,discontinue,delete supplier
Costco,Costco,5014,,
